Filename,a,b
010059-712450.png,8.53,7.86
010430-720014.png,6.61,6.06
010621-714016.png,6.75,5.93
010517-722407.png,6.37,5.88
010431-722326.png,6.86,6.04
010410-721508.png,6.49,5.48
010706-723029.png,6.72,6.04
010232-723009.png,6.68,6.01
010637-723116.png,15.14,8.85
010538-715853.png,7.58,6.27
010521-715655.png,6.75,6.7
010028-715201.png,8.38,6.12
010354-715214.png,6.38,6.02
010001-712329.png,7.13,6.73
010415-720005.png,7.03,6.99
010706-715843.png,6.41,5.69
010307-720627.png,14.6,8.24
010634-715542.png,7.99,6.71
010712-721009.png,6.88,5.99
010216-711953.png,6.65,6.04
010107-721836.png,6.65,6.18
005503-714525.png,6.5,6.5
005911-722420.png,6.44,5.93
005815-721809.png,6.57,6.02
010541-720338.png,7.79,6.55
010543-720344.png,6.99,6.62
012449-741323.png,8.74,8.6
012820-741313.png,9.25,8.92
012506-741229.png,6.8,6.16
012816-741148.png,6.75,6.05
012804-741105.png,6.78,6.08
012804-741121.png,6.86,6.6
012458-741118.png,6.53,6.45
012825-741115.png,6.78,6.0
013105-741053.png,6.66,6.27
012608-741045.png,8.12,7.17
012444-741034.png,7.51,7.04
012812-741038.png,6.59,5.8
012239-741011.png,12.06,9.2
012411-741017.png,6.67,6.13
012356-740954.png,6.79,5.98
012932-740947.png,6.32,6.03
013146-740923.png,6.7,6.61
013011-740924.png,6.83,5.87
012838-740923.png,6.85,6.01
012832-740908.png,9.46,9.2
012829-740836.png,6.75,6.13
013025-740800.png,8.64,6.4
012940-740745.png,6.55,5.75
013103-740738.png,12.33,7.78
013045-740737.png,7.14,6.84
013132-740720.png,6.54,6.15
013112-740714.png,7.74,6.77
012803-740721.png,6.72,6.0
012436-740645.png,6.99,5.99
012403-740617.png,6.97,6.14
012920-740615.png,7.27,6.44
012544-740608.png,6.84,6.25
012855-740602.png,6.6,6.13
012305-740537.png,7.7,6.82
012402-740502.png,6.91,6.47
012127-740448.png,6.76,5.92
012842-740458.png,6.89,6.07
012717-740424.png,6.59,6.02
012424-740418.png,6.69,6.24
012652-740416.png,7.06,6.16
012636-740405.png,6.81,5.88
012503-740405.png,8.87,7.8
012316-740354.png,6.83,6.23
012831-740350.png,6.76,6.17
012654-740345.png,6.91,5.82
012437-740336.png,7.0,6.48
013318-740304.png,6.75,6.22
012649-740312.png,8.08,6.96
012652-740305.png,6.9,6.07
012643-740315.png,6.71,6.09
012324-740244.png,6.64,6.03
012445-740248.png,6.62,6.03
012028-740212.png,7.01,6.08
012411-740233.png,6.87,6.34
012209-740222.png,6.55,6.43
013316-740205.png,6.3,5.97
